Count  Overhead File                                                   Line Function
     1         0 @Zygote\src\lib\broadcast.jl                             59 unbroadcast(x::Matrix{ComplexF64}, maybethunked_x̄::SubArray{ComplexF64, 2, Array{ComplexF64, 3}, Tuple{Base.Slice{Base.OneTo{Int64}}, Base.Slice{Base.OneTo{Int64}}, Int64}, true})    
     1         0 @Zygote\src\lib\array.jl                                205 (::Zygote.var"#map_back#681"{GfPEPS.var"#53#54"{Matrix{Float64}, Matrix{Float64}, Matrix{Float64}, LinearAlgebra.Transpose{Float64, Matrix{Float64}}}, 1, Tuple{Vector{SubArray{ComplexF6…
     1         1 @Base\tuple.jl                                          318 map
     1         1 @Zygote\src\lib\broadcast.jl                              ? unbroadcast(x::Matrix{Float64}, maybethunked_x̄::Matrix{ComplexF64})
     1         1 @Zygote\src\lib\array.jl                                425 (::Zygote.var"#882#885"{Matrix{ComplexF64}, LinearAlgebra.Transpose{Float64, Matrix{Float64}}, Matrix{ComplexF64}})(Z̄::Matrix{ComplexF64})
     1         0 @LinearAlgebra\src\matmul.jl                            613 gemm_wrapper!(C::Matrix{ComplexF64}, tA::Char, tB::Char, A::Matrix{ComplexF64}, B::Matrix{Float64}, _add::LinearAlgebra.MulAddMul{true, true, Bool, Bool})
     1         0 @LinearAlgebra\src\matmul.jl                            656 lapack_size
     1         0 @Base\char.jl                                           213 ==
     1         1 @Base\broadcast.jl                                      555 _bcs1
     1         0 @ChainRulesCore\src\projection.jl                       240 #59
     1         1 @LinearAlgebra\src\matmul.jl                              ? gemm_wrapper!(C::Matrix{Float64}, tA::Char, tB::Char, A::Matrix{Float64}, B::Matrix{Float64}, _add::LinearAlgebra.MulAddMul{true, true, Bool, Bool})
     1         0 @ChainRules\src\rulesets\Base\arraymath.jl              402 rrule
     1         0 @Base\arraymath.jl                                       24 /(A::Matrix{Float64}, B::Int64)
     1         1 @Base\Base.jl                                            40 setproperty!(x::NLSolversBase.OnceDifferentiable{Float64, Matrix{Float64}, Float64, Matrix{Float64}}, f::Symbol, v::Float64)
     1         0 @Base\array.jl                                          332 unsafe_copyto!
     1         0 @Base\abstractarray.jl                                 1239 pointer
     1         1 @Base\pointer.jl                                         65 unsafe_convert
     1         0 @LinearAlgebra\src\LinearAlgebra.jl                     559 ldiv(F::LinearAlgebra.LU{ComplexF64, Matrix{ComplexF64}, Vector{Int64}}, B::LinearAlgebra.Transpose{Float64, Matrix{Float64}})
     1         0 @Base\range.jl                                            5 Colon
     1         1 @Base\range.jl                                          403 UnitRange
     1         1 @LinearAlgebra\src\matmul.jl                            111 *(A::Matrix{Float64}, B::Matrix{Float64})
     1         1 @Zygote\src\lib\broadcast.jl                             56 unbroadcast(x::Matrix{Float64}, maybethunked_x̄::Matrix{ComplexF64})
     1         0 @Base\promotion.jl                                      533 min
     1         1 @Base\essentials.jl                                     647 ifelse
     1         0 @Base\cartesian.jl                                       64 macro expansion
     1         0 @Base\multidimensional.jl                               961 macro expansion
     1         0 @Base\int.jl                                           1074 -
     1         1 @Base\int.jl                                             86 -
     1         0 @GfPEPS\src\lib\GaussianMap.jl                           13 helper(k::Float64, Nrc::Int64)
     1         0 @LinearAlgebra\src\dense.jl                             466 kron(A::LinearAlgebra.Diagonal{Bool, Vector{Bool}}, B::Matrix{Int64})
     1         1 @Base\abstractarray.jl                                 2106 typed_hvcat(::Type{ComplexF64}, ::Tuple{Int64, Int64}, ::Matrix{Float64}, ::Vararg{AbstractVecOrMat})
     1         0 @GfPEPS\src\lib\translate.jl                             55 H_BdG_majorana_k(Nf::Int64, k::SubArray{Float64, 1, Matrix{Float64}, Tuple{Base.Slice{Base.OneTo{Int64}}, Int64}, true}, H_bdg_k::MomentumSpaceBdGHamiltonian, lattice::InfiniteRectLatti…
     1         0 @LinearAlgebra\src\matmul.jl                           1162 *(A::Matrix{ComplexF64}, B::Matrix{ComplexF64}, C::LinearAlgebra.Adjoint{Complex{Int64}, Matrix{Complex{Int64}}})
     1         0 @LinearAlgebra\src\matmul.jl                           1174 _tri_matmul(A::Matrix{ComplexF64}, B::Matrix{ComplexF64}, C::LinearAlgebra.Adjoint{Complex{Int64}, Matrix{Complex{Int64}}}, δ::Nothing)
     1         0 @LinearAlgebra\src\matmul.jl                            106 *
     1         0 @LinearAlgebra\src\matmul.jl                            785 generic_matmatmul!(C::Matrix{ComplexF64}, tA::Char, tB::Char, A::Matrix{ComplexF64}, B::Matrix{Complex{Int64}}, _add::LinearAlgebra.MulAddMul{true, true, Bool, Bool})
     1         1 @LinearAlgebra\src\matmul.jl                            820 _generic_matmatmul!(C::Matrix{ComplexF64}, tA::Char, tB::Char, A::Matrix{ComplexF64}, B::Matrix{Complex{Int64}}, _add::LinearAlgebra.MulAddMul{true, true, Bool, Bool})
     1         1 @Base\abstractarray.jl                                 2077 typed_hvcat(::Type{ComplexF64}, ::Tuple{Int64, Int64}, ::LinearAlgebra.Diagonal{Float64, Vector{Float64}}, ::Vararg{AbstractVecOrMat})
     1         0 @BlockDiagonals\src\blockdiagonal.jl                    112 (Matrix)(B::BlockDiagonals.BlockDiagonal{ComplexF64, Matrix{ComplexF64}})
     1         1 @Base\abstractarray.jl                                 2100 typed_hvcat(::Type{ComplexF64}, ::Tuple{Int64, Int64}, ::Matrix{Float64}, ::Vararg{AbstractVecOrMat})
     1         0 @LinearAlgebra\src\matmul.jl                            598 gemm_wrapper!(C::Matrix{ComplexF64}, tA::Char, tB::Char, A::Matrix{ComplexF64}, B::Matrix{ComplexF64}, _add::LinearAlgebra.MulAddMul{true, true, Bool, Bool})
     1         0 @Base\promotion.jl                                      399 promote
     1         0 @Base\promotion.jl                                      377 _promote
     1         0 @Base\number.jl                                           7 convert
     1         0 @Base\complex.jl                                         42 Complex
     1         1 @Base\complex.jl                                         14 Complex
     1         0 @Zygote\src\lib\broadcast.jl                             60 unbroadcast
     1         0 @ChainRulesCore\src\tangent_types\thunks.jl             252 unthunk
     1         0 @ChainRules\src\rulesets\Base\indexing.jl                69 #675
     1         0 @ChainRules\src\rulesets\Base\indexing.jl                88 ∇getindex(::Matrix{Float64}, ::Matrix{Float64}, ::UnitRange{Int64}, ::Vararg{UnitRange{Int64}})
     1         0 @ChainRules\src\rulesets\Base\indexing.jl               133 _setindex_zero(::Matrix{Float64}, ::Matrix{Float64}, ::UnitRange{Int64}, ::Vararg{UnitRange{Int64}})
     1         0 @LinearAlgebra\src\generic.jl                          1348 _istril
     1         1 @Base\int.jl                                             87 +
     1         0 @Optim\src\utilities\perform_linesearch.jl               40 perform_linesearch!(state::Optim.LBFGSState{Matrix{Float64}, Vector{Matrix{Float64}}, Vector{Matrix{Float64}}, Float64, Matrix{Float64}}, method::Optim.LBFGS{Nothing, LineSearches.Initi…
     1         0 @LinearAlgebra\src\matmul.jl                             15 dot
     1         0 @LinearAlgebra\src\blas.jl                              395 dot
     1         1 @LinearAlgebra\src\blas.jl                              345 dot
     1         1 @LinearAlgebra\src\LinearAlgebra.jl                     533 ldiv(F::LinearAlgebra.LU{ComplexF64, Matrix{ComplexF64}, Vector{Int64}}, B::Matrix{ComplexF64})
     1         0 @Base\abstractarray.jl                                 2893 _stack_size_check
     1         0 @Base\tuple.jl                                          482 ==
     1         0 @Base\tuple.jl                                          486 _eq
     1         0 @Base\range.jl                                         1134 ==
     1         0 @LineSearches\src\LineSearches.jl                        29 (::LineSearches.var"#ϕdϕ#2"{Optim.ManifoldObjective{Optim.Stiefel_SVD, NLSolversBase.OnceDifferentiable{Float64, Matrix{Float64}, Float64, Matrix{Float64}}}, Matrix{Float64}, Matrix{Flo…
     1         0 @Base\broadcast.jl                                      987 preprocess_args
     1         0 @Base\broadcast.jl                                      630 _newindexer
     1         0 @Optim\src\multivariate\solvers\first_order\l_bfgs.jl   209 update_state!(d::NLSolversBase.OnceDifferentiable{Float64, Matrix{Float64}, Float64, Matrix{Float64}}, state::Optim.LBFGSState{Matrix{Float64}, Vector{Matrix{Float64}}, Vector{Matrix{Fl…
     1         0 @Optim\src\multivariate\solvers\first_order\l_bfgs.jl    39 twoloop!(s::Matrix{Float64}, gr::Matrix{Float64}, rho::Vector{Float64}, dx_history::Vector{Matrix{Float64}}, dg_history::Vector{Matrix{Float64}}, m::Int64, pseudo_iteration::Int64, alph…
     1         1 @Base\float.jl                                          411 *
     1         1 @Base\broadcast.jl                                        ? _bcs
     1         0 @Base\array.jl                                          723 _array_for(::Type{Tuple{@NamedTuple{A::Matrix{Float64}, B::ChainRulesCore.Thunk{ChainRules.var"#548#551"{SubArray{ComplexF64, 2, Array{ComplexF64, 3}, Tuple{Base.Slice{Base.OneTo{Int64}…
     1         0 @Zygote\src\lib\array.jl                                189 ∇map(cx::Zygote.Context{false}, f::GfPEPS.var"#53#54"{Matrix{Float64}, Matrix{Float64}, Matrix{Float64}, LinearAlgebra.Transpose{Float64, Matrix{Float64}}}, args::Vector{SubArray{Comple…
     1         1 @Base\generator.jl                                       32 Generator
     1         0 @Base\subarray.jl                                       184 view
     1         1 @Base\abstractarray.jl                                    ? checkbounds
     1         1 @Base\broadcast.jl                                        ? _bcs1
     1         0 @Base\arraymath.jl                                        8 -(A::Matrix{Float64}, B::LinearAlgebra.Transpose{Float64, Matrix{Float64}})
     1         0 @ChainRulesCore\src\projection.jl                       224 (::ChainRulesCore.ProjectTo{AbstractArray, @NamedTuple{element::ChainRulesCore.ProjectTo{Float64, @NamedTuple{}}, axes::Tuple{Base.OneTo{Int64}, Base.OneTo{Int64}}}})(dx::Matrix{Complex…
     1         0 @Zygote\src\lib\array.jl                                153 _tryreverse
     1         0 @Zygote\src\lib\array.jl                                159 _reverse
     1         0 @Base\array.jl                                         1951 reverse
     1         0 @Base\array.jl                                         1951 #reverse#120
     1         0 @Base\array.jl                                         1952 _reverse
     1         1 @Base\array.jl                                            ? reverse(A::Vector{Tuple{Matrix{ComplexF64}, Zygote.Pullback{Tuple{GfPEPS.var"#53#54"{Matrix{Float64}, Matrix{Float64}, Matrix{Float64}, LinearAlgebra.Transpose{Float64, Matrix{Float64}}…
     1         1 @Base\abstractarray.jl                                 2104 typed_hvcat(::Type{ComplexF64}, ::Tuple{Int64, Int64}, ::Matrix{Float64}, ::Vararg{AbstractVecOrMat})
     1         0 @Base\abstractarray.jl                                 2097 typed_hvcat(::Type{ComplexF64}, ::Tuple{Int64, Int64}, ::LinearAlgebra.Diagonal{Float64, Vector{Float64}}, ::Vararg{AbstractVecOrMat})
     1         0 @Base\operators.jl                                      276 !=(x::Int64, y::Int64)
     1         0 @GfPEPS\src\lib\Xopt.jl                                 109 get_X_opt(lattice::InfiniteRectLattice, Nf::Int64, Λ::Int64, H_bdg::MomentumSpaceBdGHamiltonian; X_init::Nothing, doping_kwargs::DopingSettings, optim_alg_options::Optim.LBFGS{Nothing, …
     1         1 @Base\tuple.jl                                           92 indexed_iterate
     1         1 @Base\simdloop.jl                                        70 macro expansion
     1         1 @LinearAlgebra\src\lapack.jl                              ? getrf!(A::Matrix{ComplexF64}; check::Bool)
     1         0 @GfPEPS\src\lib\GaussianMap.jl                           96 get_Γ_blocks(Γ::Matrix{Float64}, Nf::Int64, lattice::InfiniteRectLattice)
     1         0 @Base\multidimensional.jl                               889 _getindex
     1         0 @Base\multidimensional.jl                               901 _unsafe_getindex(::IndexLinear, ::Matrix{Float64}, ::UnitRange{Int64}, ::UnitRange{Int64})
     1         1 @LinearAlgebra\src\matmul.jl                            624 gemm_wrapper!(C::Matrix{ComplexF64}, tA::Char, tB::Char, A::Matrix{ComplexF64}, B::Matrix{Float64}, _add::LinearAlgebra.MulAddMul{true, true, Bool, Bool})
     1         1 @ZygoteRules\src\adjoint.jl                              23 gradtuple1
     1         1 @Base\essentials.jl                                     874 Val
     1         1 @LinearAlgebra\src\matmul.jl                           1169 _tri_matmul
     1         0 @LinearAlgebra\src\generic.jl                             ? \(A::LinearAlgebra.Adjoint{ComplexF64, Matrix{ComplexF64}}, B::Matrix{ComplexF64})
     1         1 @LinearAlgebra\src\generic.jl                          1340 istril(A::Matrix{ComplexF64}, k::Int64)
     1         0 @Optim\src\multivariate\solvers\first_order\l_bfgs.jl   222 update_state!(d::NLSolversBase.OnceDifferentiable{Float64, Matrix{Float64}, Float64, Matrix{Float64}}, state::Optim.LBFGSState{Matrix{Float64}, Vector{Matrix{Float64}}, Vector{Matrix{Fl…
     1         0 @Base\array.jl                                          869 collect_to_with_first!
     1         1 @Base\array.jl                                            ? setindex!
     1         1 @Zygote\src\compiler\chainrules.jl                      235 chain_rrule
     1         0 @Base\abstractarray.jl                                 2822 _typed_stack(::Colon, ::Type{ComplexF64}, ::Type{Matrix{ComplexF64}}, A::Vector{Matrix{ComplexF64}}, Aax::Tuple{Base.OneTo{Int64}})
     1         0 @ChainRules\src\rulesets\Base\array.jl                  642 (::ChainRules.var"#stack_pullback#546"{ChainRulesCore.ProjectTo{AbstractArray, @NamedTuple{elements::Vector{ChainRulesCore.ProjectTo{AbstractArray, @NamedTuple{element::ChainRulesCore.P…
     1         0 @Base\slicearray.jl                                     127 eachslice
     1         0 @Base\slicearray.jl                                     128 #eachslice#297
     1         0 @Base\slicearray.jl                                      74 _eachslice
     1         1 @Base\slicearray.jl                                      63 _eachslice(A::Array{ComplexF64, 3}, dims::Tuple{Int64}, drop::Bool)
     2         0 @GfPEPS\src\lib\constructor.jl                           75 Gaussian_fPEPS(Nf::Int64, Λ::Int64, lattice::InfiniteRectLattice, H_bdg::MomentumSpaceBdGHamiltonian; doping_kwargs::DopingSettings, optim_alg_options::Optim.LBFGS{Nothing, LineSearches…
     2         0 @GfPEPS\src\lib\translate.jl                            161 translate
     2         0 @Base\essentials.jl                                     894 #invokelatest#2
     2         0 @VSCodeServer\src\progress.jl                             7 kwcall(::@NamedTuple{maxlog::Int64}, ::typeof(Base.CoreLogging.handle_message), j::VSCodeServer.VSCodeLogger, level::Base.CoreLogging.LogLevel, message::String, _module::Module, group::…
     2         0 @Base\logging.jl                                        379 macro expansion
     2         0 @Base\subarray.jl                                       290 getindex
